u:\PHYS 402\Lab 4 (D2)\SemiPlanerun5_04mmslitwidth_logcurrent.txt

DAQ PROGRAM: DIFFN4.prj 

Current Date: 
10-27-2020
Current Time: 
10:27:20
Total Number of Data Points:     
180
Number of Samples per Point:    
30000
Stepper Motor Step Size (Cycles):
10
Stepper Motor Step Size (Steps): 
400
Stepper Motor Step Size (cm):    
0.01
 Start Date:  10-27-2020
 Start Time:  10:14:11

Xpos 	Iobs 	Vobs 	Robs 
       1.000025	        2.64697	      -0.005294	      -0.007066
           1.01	       2.534612	      -0.005069	      -0.006841
       1.020025	       2.600738	      -0.005201	      -0.006974
       1.030025	       3.146886	      -0.006294	      -0.008066
       1.040025	       3.377759	      -0.006756	      -0.008528
       1.050025	       3.590136	       -0.00718	      -0.008953
       1.060025	       4.376561	      -0.008753	      -0.010525
       1.070025	       4.567336	      -0.009135	      -0.010907
       1.080025	       4.503248	      -0.009006	      -0.010779
       1.090025	       4.976205	      -0.009952	      -0.011725
            1.1	       5.000228	          -0.01	      -0.011773
           1.11	       4.483716	      -0.008967	       -0.01074
       1.120025	       4.534303	      -0.009069	      -0.010841
           1.13	       4.576488	      -0.009153	      -0.010925
       1.140025	       4.051076	      -0.008102	      -0.009874
           1.15	       3.935147	       -0.00787	      -0.009643
           1.16	       4.451845	      -0.008904	      -0.010676
       1.170025	       4.514109	      -0.009028	        -0.0108
       1.180025	       4.525874	      -0.009052	      -0.010824
       1.190025	       5.353094	      -0.010706	      -0.012478
            1.2	       6.227094	      -0.012454	      -0.014226
           1.21	       6.280463	      -0.012561	      -0.014333
       1.220025	       6.638795	      -0.013278	       -0.01505
       1.230025	       7.588149	      -0.015176	      -0.016949
       1.240025	       7.708334	      -0.015417	      -0.017189
           1.25	       7.073889	      -0.014148	       -0.01592
           1.26	        7.11087	      -0.014222	      -0.015994
       1.270025	       7.354297	      -0.014709	      -0.016481
       1.280025	       6.749006	      -0.013498	       -0.01527
       1.290025	       5.944998	       -0.01189	      -0.013662
            1.3	       6.112988	      -0.012226	      -0.013998
           1.31	       6.704581	      -0.013409	      -0.015181
       1.320025	       6.679944	       -0.01336	      -0.015132
       1.330025	       6.555279	      -0.013111	      -0.014883
       1.340025	       7.461665	      -0.014923	      -0.016696
           1.35	       8.880176	       -0.01776	      -0.019533
           1.36	       9.442428	      -0.018885	      -0.020657
       1.370025	       9.272291	      -0.018545	      -0.020317
       1.380025	       9.739317	      -0.019479	      -0.021251
       1.390025	       10.75678	      -0.021514	      -0.023286
            1.4	      10.803303	      -0.021607	      -0.023379
       1.410025	       9.640657	      -0.019281	      -0.021054
       1.420025	       8.878259	      -0.017757	      -0.019529
       1.430025	       9.090948	      -0.018182	      -0.019954
       1.440025	       9.262421	      -0.018525	      -0.020297
           1.45	        8.58659	      -0.017173	      -0.018945
           1.46	       7.806238	      -0.015612	      -0.017385
       1.470025	       8.014052	      -0.016028	        -0.0178
       1.480025	       9.344808	       -0.01869	      -0.020462
       1.490025	      10.655956	      -0.021312	      -0.023084
            1.5	      10.985259	      -0.021971	      -0.023743
           1.51	      10.873794	      -0.021748	       -0.02352
       1.520025	      11.417231	      -0.022834	      -0.024607
       1.530025	      12.840677	      -0.025681	      -0.027454
       1.540025	      13.748936	      -0.027498	       -0.02927
           1.55	      13.157793	      -0.026316	      -0.028088
       1.560025	      11.594526	      -0.023189	      -0.024961
           1.57	      10.651553	      -0.021303	      -0.023075
       1.580025	      10.673527	      -0.021347	      -0.023119
           1.59	      11.083568	      -0.022167	      -0.023939
            1.6	      10.956471	      -0.021913	      -0.023685
           1.61	      10.145075	       -0.02029	      -0.022062
       1.620025	       9.490599	      -0.018981	      -0.020753
       1.630025	       9.733774	      -0.019468	       -0.02124
       1.640025	      11.095054	       -0.02219	      -0.023962
           1.65	      13.127789	      -0.026256	      -0.028028
           1.66	      14.681898	      -0.029364	      -0.031136
       1.670025	      14.915126	       -0.02983	      -0.031602
       1.680025	      14.160243	       -0.02832	      -0.030093
       1.690025	      13.482227	      -0.026964	      -0.028737
            1.7	      13.588834	      -0.027178	       -0.02895
           1.71	      14.335013	       -0.02867	      -0.030442
       1.720025	      14.774752	       -0.02955	      -0.031322
       1.730025	      14.293365	      -0.028587	      -0.030359
       1.740025	       12.94282	      -0.025886	      -0.027658
           1.75	      11.329964	       -0.02266	      -0.024432
           1.76	      10.290576	      -0.020581	      -0.022353
       1.770025	      10.350704	      -0.020701	      -0.022474
       1.780025	      11.524353	      -0.023049	      -0.024821
       1.790025	      13.520156	       -0.02704	      -0.028813
            1.8	      15.737723	      -0.031475	      -0.033248
           1.81	      17.250244	        -0.0345	      -0.036273
       1.820025	      17.592828	      -0.035186	      -0.036958
       1.830025	      16.816081	      -0.033632	      -0.035404
       1.840025	      15.541559	      -0.031083	      -0.032855
       1.850025	      14.311747	      -0.028623	      -0.030396
           1.86	      13.792315	      -0.027585	      -0.029357
       1.870025	      13.987817	      -0.027976	      -0.029748
       1.880025	      14.544169	      -0.029088	      -0.030861
       1.890025	      15.097444	      -0.030195	      -0.031967
            1.9	      15.364367	      -0.030729	      -0.032501
           1.91	      15.430948	      -0.030862	      -0.032634
       1.920025	      15.256637	      -0.030513	      -0.032286
       1.930025	      14.869216	      -0.029738	      -0.031511
       1.940025	      14.468908	      -0.028938	       -0.03071
           1.95	      13.911832	      -0.027824	      -0.029596
           1.96	      13.684443	      -0.027369	      -0.029141
       1.970025	      13.764727	      -0.027529	      -0.029302
       1.980025	      14.362843	      -0.028726	      -0.030498
       1.990025	      15.359515	      -0.030719	      -0.032491
            2.0	      16.492474	      -0.032985	      -0.034757
           2.01	      17.612163	      -0.035224	      -0.036997
       2.020025	      18.379205	      -0.036758	      -0.038531
       2.030025	      18.832932	      -0.037666	      -0.039438
       2.040025	      18.920369	      -0.037841	      -0.039613
           2.05	      18.773872	      -0.037548	       -0.03932
           2.06	      18.724649	      -0.037449	      -0.039222
       2.070025	      18.747981	      -0.037496	      -0.039268
       2.080025	      18.991775	      -0.037984	      -0.039756
       2.090025	        19.1076	      -0.038215	      -0.039987
            2.1	      19.149818	        -0.0383	      -0.040072
           2.11	      18.857344	      -0.037715	      -0.039487
       2.120025	      18.115321	      -0.036231	      -0.038003
       2.130025	      16.906284	      -0.033813	      -0.035585
       2.140025	      15.242358	      -0.030485	      -0.032257
           2.15	      13.214881	       -0.02643	      -0.028202
           2.16	      11.251876	      -0.022504	      -0.024276
       2.170025	       9.252146	      -0.018504	      -0.020277
       2.180025	       7.482813	      -0.014966	      -0.016738
       2.190025	       6.019723	      -0.012039	      -0.013812
            2.2	       4.855905	      -0.009712	      -0.011484
           2.21	        4.05915	      -0.008118	      -0.009891
       2.220025	       3.491202	      -0.006982	      -0.008755
       2.230025	       3.146634	      -0.006293	      -0.008066
       2.240025	       2.947808	      -0.005896	      -0.007668
       2.250025	       2.842598	      -0.005685	      -0.007457
       2.260025	       2.754059	      -0.005508	       -0.00728
       2.270025	       2.694326	      -0.005389	      -0.007161
       2.280025	       2.595025	       -0.00519	      -0.006962
       2.290025	       2.476916	      -0.004954	      -0.006726
            2.3	       2.321655	      -0.004643	      -0.006416
           2.31	       2.144064	      -0.004288	       -0.00606
       2.320025	       1.956581	      -0.003913	      -0.005685
       2.330025	       1.760439	      -0.003521	      -0.005293
       2.340025	       1.576839	      -0.003154	      -0.004926
           2.35	        1.38154	      -0.002763	      -0.004535
           2.36	        1.19564	      -0.002391	      -0.004164
       2.370025	       1.035116	       -0.00207	      -0.003842
       2.380025	         0.8961	      -0.001792	      -0.003564
       2.390025	       0.764271	      -0.001529	      -0.003301
            2.4	       0.662461	      -0.001325	      -0.003097
       2.410025	       0.546581	      -0.001093	      -0.002865
       2.420025	       0.478254	      -0.000957	      -0.002729
       2.430025	       0.406273	      -0.000813	      -0.002585
       2.440025	       0.362719	      -0.000725	      -0.002498
           2.45	       0.310604	      -0.000621	      -0.002393
       2.460025	       0.260493	      -0.000521	      -0.002293
       2.470025	       0.228342	      -0.000457	      -0.002229
       2.480025	       0.206894	      -0.000414	      -0.002186
       2.490025	       0.178276	      -0.000357	      -0.002129
            2.5	       0.168406	      -0.000337	      -0.002109
           2.51	       0.154434	      -0.000309	      -0.002081
       2.520025	       0.147489	      -0.000295	      -0.002067
       2.530025	       0.121817	      -0.000244	      -0.002016
       2.540025	       0.109976	       -0.00022	      -0.001992
           2.55	       0.111099	      -0.000222	      -0.001994
           2.56	       0.104992	       -0.00021	      -0.001982
       2.570025	       0.082059	      -0.000164	      -0.001936
       2.580025	       0.078022	      -0.000156	      -0.001928
       2.590025	       0.083127	      -0.000166	      -0.001938
            2.6	       0.071526	      -0.000143	      -0.001915
           2.61	        0.07312	      -0.000146	      -0.001918
       2.620025	       0.079386	      -0.000159	      -0.001931
       2.630025	       0.062527	      -0.000125	      -0.001897
       2.640025	       0.067369	      -0.000135	      -0.001907
           2.65	        0.05085	      -0.000102	      -0.001874
           2.66	       0.042689	      -0.000085	      -0.001858
       2.670025	        0.05481	       -0.00011	      -0.001882
       2.680025	       0.043516	      -0.000087	      -0.001859
       2.690025	       0.041873	      -0.000084	      -0.001856
            2.7	       0.039923	       -0.00008	      -0.001852
           2.71	        0.03409	      -0.000068	       -0.00184
       2.720025	       0.021564	      -0.000043	      -0.001815
       2.730025	       0.024762	       -0.00005	      -0.001822
       2.740025	        0.03025	      -0.000061	      -0.001833
           2.75	       0.034999	       -0.00007	      -0.001842
           2.76	       0.026778	      -0.000054	      -0.001826
       2.770025	       0.022073	      -0.000044	      -0.001816
       2.780025	       0.021761	      -0.000044	      -0.001816
       2.790025	       0.016651	      -0.000033	      -0.001806

****END OF DATA****
 End Date:  10-27-2020
 End Time:  10:22:55
 
