u:\PHYS 402\Lab 4 (D2)\SemiPlanerun4_04mmslitwidth_logcurrent.txt

DAQ PROGRAM: DIFFN4.prj 

Current Date: 
10-13-2020
Current Time: 
12:12:23
Total Number of Data Points:     
3000
Number of Samples per Point:    
30000
Stepper Motor Step Size (Cycles):
1
Stepper Motor Step Size (Steps): 
40
Stepper Motor Step Size (cm):    
0.001
 Start Date:  10-13-2020
 Start Time:  11:43:30

Xpos 	Iobs 	Vobs 	Robs 
        1.11375	       5.741363	      -0.011483	      -0.013136
       1.114775	       5.723858	      -0.011448	      -0.013101
        1.11575	       5.787733	      -0.011575	      -0.013228
       1.116775	       5.812512	      -0.011625	      -0.013278
       1.117775	       5.845522	      -0.011691	      -0.013344
       1.118775	       5.931108	      -0.011862	      -0.013515
       1.119775	       5.919349	      -0.011839	      -0.013492
       1.120775	       6.033509	      -0.012067	       -0.01372
       1.121775	         6.0625	      -0.012125	      -0.013778
       1.122775	       6.076833	      -0.012154	      -0.013806
       1.123775	        6.16972	      -0.012339	      -0.013992
       1.124775	       6.178144	      -0.012356	      -0.014009
       1.125775	       6.151038	      -0.012302	      -0.013955
       1.126775	       6.176205	      -0.012352	      -0.014005
       1.127775	       6.293783	      -0.012588	       -0.01424
       1.128775	       6.232176	      -0.012464	      -0.014117
       1.129775	       6.362927	      -0.012726	      -0.014379
       1.130775	       6.335673	      -0.012671	      -0.014324
       1.131775	        6.37014	       -0.01274	      -0.014393
       1.132775	       6.416378	      -0.012833	      -0.014486
       1.133775	       6.486689	      -0.012973	      -0.014626
       1.134775	       6.500431	      -0.013001	      -0.014654
       1.135775	       6.431501	      -0.012863	      -0.014516
       1.136775	       6.492368	      -0.012985	      -0.014638
       1.137775	       6.474968	       -0.01295	      -0.014603
       1.138775	       6.401798	      -0.012804	      -0.014456
       1.139775	       6.452057	      -0.012904	      -0.014557
       1.140775	       6.481902	      -0.012964	      -0.014617
       1.141775	        6.42851	      -0.012857	       -0.01451
       1.142775	       6.521326	      -0.013043	      -0.014695
       1.143775	       6.463794	      -0.012928	       -0.01458
       1.144775	       6.545311	      -0.013091	      -0.014743
       1.145775	       6.478221	      -0.012956	      -0.014609
