u:\PHYS 402\Lab 4 (D2)\SingleSlitrun2_04mm_current.txt

DAQ PROGRAM: DIFFN4.prj 

Current Date: 
10-13-2020
Current Time: 
10:57:47
Total Number of Data Points:     
500
Number of Samples per Point:    
30000
Stepper Motor Step Size (Cycles):
10
Stepper Motor Step Size (Steps): 
400
Stepper Motor Step Size (cm):    
0.01
 Start Date:  10-13-2020
 Start Time:  10:41:11

Xpos 	Iobs 	Vobs 	Robs 
           1.15	       0.483747	      -0.000967	      -0.002787
           1.16	       0.554742	      -0.001109	      -0.002929
       1.170025	        0.56751	      -0.001135	      -0.002955
       1.180025	       0.714385	      -0.001429	      -0.003249
       1.190025	       0.767261	      -0.001535	      -0.003354
            1.2	       0.922166	      -0.001844	      -0.003664
       1.210025	       1.105903	      -0.002212	      -0.004032
       1.220025	       1.138459	      -0.002277	      -0.004097
       1.230025	        1.28041	      -0.002561	      -0.004381
       1.240025	       1.517905	      -0.003036	      -0.004856
           1.25	       1.651608	      -0.003303	      -0.005123
       1.260025	       1.783169	      -0.003566	      -0.005386
       1.270025	       1.904767	       -0.00381	      -0.005629
       1.280025	       2.107898	      -0.004216	      -0.006036
       1.290025	       2.325034	       -0.00465	       -0.00647
            1.3	       2.521576	      -0.005043	      -0.006863
           1.31	       2.779337	      -0.005559	      -0.007378
       1.320025	       2.938492	      -0.005877	      -0.007697
       1.330025	       3.217498	      -0.006435	      -0.008255
       1.340025	       3.420799	      -0.006842	      -0.008661
           1.35	       3.599425	      -0.007199	      -0.009019
       1.360025	       3.911836	      -0.007824	      -0.009643
       1.370025	       4.088808	      -0.008178	      -0.009997
       1.380025	       4.362901	      -0.008726	      -0.010546
       1.390025	       4.648737	      -0.009297	      -0.011117
            1.4	       4.960431	      -0.009921	      -0.011741
           1.41	       5.325642	      -0.010651	      -0.012471
       1.420025	       5.508962	      -0.011018	      -0.012838
       1.430025	       5.922745	      -0.011845	      -0.013665
       1.440025	       6.242462	      -0.012485	      -0.014305
           1.45	       6.607608	      -0.013215	      -0.015035
           1.46	       6.912636	      -0.013825	      -0.015645
       1.470025	       7.224384	      -0.014449	      -0.016269
       1.480025	       7.604077	      -0.015208	      -0.017028
       1.490025	       7.990753	      -0.015982	      -0.017801
            1.5	       8.370281	      -0.016741	       -0.01856
       1.510025	       8.747339	      -0.017495	      -0.019314
       1.520025	       9.054613	      -0.018109	      -0.019929
       1.530025	       9.527921	      -0.019056	      -0.020876
       1.540025	        9.93272	      -0.019865	      -0.021685
           1.55	      10.316954	      -0.020634	      -0.022454
       1.560025	      10.783908	      -0.021568	      -0.023388
       1.570025	      11.165529	      -0.022331	      -0.024151
       1.580025	      11.640781	      -0.023282	      -0.025101
       1.590025	      12.102806	      -0.024206	      -0.026025
            1.6	      12.551385	      -0.025103	      -0.026923
       1.610025	      13.093628	      -0.026187	      -0.028007
       1.620025	      13.555253	      -0.027111	       -0.02893
       1.630025	      14.047775	      -0.028096	      -0.029915
       1.640025	      14.467862	      -0.028936	      -0.030756
           1.65	      15.066251	      -0.030133	      -0.031952
           1.66	      15.565664	      -0.031131	      -0.032951
       1.670025	       16.08441	      -0.032169	      -0.033989
       1.680025	      16.548725	      -0.033097	      -0.034917
       1.690025	      17.073392	      -0.034147	      -0.035967
            1.7	      17.603701	      -0.035207	      -0.037027
       1.710025	      18.150129	        -0.0363	       -0.03812
       1.720025	      18.642333	      -0.037285	      -0.039104
       1.730025	      19.207016	      -0.038414	      -0.040234
       1.740025	      19.777982	      -0.039556	      -0.041376
           1.75	      20.389473	      -0.040779	      -0.042599
           1.76	      20.912475	      -0.041825	      -0.043645
       1.770025	      21.530418	      -0.043061	      -0.044881
       1.780025	      22.095107	       -0.04419	       -0.04601
       1.790025	      22.579977	       -0.04516	       -0.04698
            1.8	      23.233856	      -0.046468	      -0.048287
           1.81	      23.792542	      -0.047585	      -0.049405
       1.820025	      24.317001	      -0.048634	      -0.050454
       1.830025	      24.918754	      -0.049838	      -0.051657
       1.840025	      25.534851	       -0.05107	      -0.052889
           1.85	      26.210408	      -0.052421	      -0.054241
           1.86	      26.782864	      -0.053566	      -0.055386
       1.870025	      27.355555	      -0.054711	      -0.056531
       1.880025	      27.946835	      -0.055894	      -0.057713
       1.890025	      28.482747	      -0.056965	      -0.058785
            1.9	      29.145077	       -0.05829	       -0.06011
       1.910025	      29.695306	      -0.059391	       -0.06121
       1.920025	      30.285852	      -0.060572	      -0.062391
       1.930025	      30.894813	       -0.06179	      -0.063609
       1.940025	      31.593796	      -0.063188	      -0.065007
           1.95	      32.202066	      -0.064404	      -0.066224
           1.96	      32.755582	      -0.065511	      -0.067331
       1.970025	      33.407965	      -0.066816	      -0.068636
       1.980025	      34.020316	      -0.068041	       -0.06986
