u:\PHYS 402\Lab 4 (D2)\Wirerun6_04mmwidth_27mmgauge_current.txt

DAQ PROGRAM: DIFFN4.prj 

Current Date: 
10-27-2020
Current Time: 
11:17:09
Total Number of Data Points:     
501
Number of Samples per Point:    
30000
Stepper Motor Step Size (Cycles):
10
Stepper Motor Step Size (Steps): 
400
Stepper Motor Step Size (cm):    
0.01
 Start Date:  10-27-2020
 Start Time:  11:03:23

Xpos 	Iobs 	Vobs 	Robs 
        1.13975	       4.949017	      -0.009898	      -0.011714
        1.14975	       4.570354	      -0.009141	      -0.010957
       1.159725	       4.248128	      -0.008496	      -0.010312
       1.169725	       4.630619	      -0.009261	      -0.011077
        1.17975	       5.718151	      -0.011436	      -0.013252
        1.18975	         6.4405	      -0.012881	      -0.014697
        1.19975	       6.062713	      -0.012125	      -0.013941
        1.20975	       5.873302	      -0.011747	      -0.013563
       1.219725	       7.248391	      -0.014497	      -0.016313
        1.22975	        9.11818	      -0.018236	      -0.020052
        1.23975	       9.152889	      -0.018306	      -0.020122
        1.24975	         7.3502	        -0.0147	      -0.016516
        1.25975	       6.575446	      -0.013151	      -0.014967
       1.269725	       7.449199	      -0.014898	      -0.016714
        1.27975	       8.329487	      -0.016659	      -0.018475
        1.28975	       7.699248	      -0.015398	      -0.017215
       1.299725	       6.328224	      -0.012656	      -0.014472
        1.30975	       5.662481	      -0.011325	      -0.013141
        1.31975	       6.126106	      -0.012252	      -0.014068
        1.32975	       7.146729	      -0.014293	       -0.01611
       1.339725	       8.026201	      -0.016052	      -0.017868
        1.34975	       8.790367	      -0.017581	      -0.019397
       1.359725	       9.583985	      -0.019168	      -0.020984
        1.36975	      10.037164	      -0.020074	       -0.02189
        1.37975	       9.841504	      -0.019683	      -0.021499
        1.38975	       9.362023	      -0.018724	       -0.02054
       1.399725	       9.581942	      -0.019164	       -0.02098
       1.409725	      10.721934	      -0.021444	       -0.02326
        1.41975	      11.606472	      -0.023213	      -0.025029
        1.42975	      11.001521	      -0.022003	      -0.023819
        1.43975	       8.986433	      -0.017973	      -0.019789
       1.449725	       6.881148	      -0.013762	      -0.015578
       1.459725	       6.189756	       -0.01238	      -0.014196
        1.46975	       7.273514	      -0.014547	      -0.016363
        1.47975	        9.55862	      -0.019117	      -0.020933
        1.48975	      11.661567	      -0.023323	      -0.025139
        1.49975	      12.661881	      -0.025324	       -0.02714
        1.50975	      12.199724	      -0.024399	      -0.026215
        1.51975	      11.348389	      -0.022697	      -0.024513
        1.52975	      10.946935	      -0.021894	       -0.02371
        1.53975	      11.308877	      -0.022618	      -0.024434
        1.54975	      11.865678	      -0.023731	      -0.025547
        1.55975	      12.014246	      -0.024028	      -0.025845
        1.56975	       11.65202	      -0.023304	       -0.02512
        1.57975	      11.202319	      -0.022405	      -0.024221
        1.58975	      11.115582	      -0.022231	      -0.024047
       1.599725	      11.392923	      -0.022786	      -0.024602
        1.60975	       11.96281	      -0.023926	      -0.025742
        1.61975	      12.263139	      -0.024526	      -0.026342
        1.62975	      12.105249	       -0.02421	      -0.026027
        1.63975	       11.29968	      -0.022599	      -0.024415
        1.64975	      10.128397	      -0.020257	      -0.022073
       1.659725	       9.201581	      -0.018403	      -0.020219
        1.66975	       9.279789	       -0.01856	      -0.020376
       1.679725	      10.705409	      -0.021411	      -0.023227
        1.68975	      13.155985	      -0.026312	      -0.028128
       1.699725	      15.946424	      -0.031893	      -0.033709
        1.70975	       17.87448	      -0.035749	      -0.037565
        1.71975	      18.498355	      -0.036997	      -0.038813
        1.72975	      17.801344	      -0.035603	      -0.037419
        1.73975	      16.420718	      -0.032841	      -0.034657
       1.749725	      14.724346	      -0.029449	      -0.031265
       1.759725	      13.417645	      -0.026835	      -0.028651
        1.76975	      12.829695	      -0.025659	      -0.027475
        1.77975	      12.922549	      -0.025845	      -0.027661
        1.78975	      13.689235	      -0.027378	      -0.029195
        1.79975	      14.897325	      -0.029795	      -0.031611
       1.809725	      15.994196	      -0.031988	      -0.033804
        1.81975	      16.745831	      -0.033492	      -0.035308
        1.82975	      16.614012	      -0.033228	      -0.035044
       1.839725	      15.575583	      -0.031151	      -0.032967
        1.84975	      13.471097	      -0.026942	      -0.028758
       1.859725	      10.864849	       -0.02173	      -0.023546
        1.86975	       8.193813	      -0.016388	      -0.018204
        1.87975	       5.634378	      -0.011269	      -0.013085
        1.88975	       3.638504	      -0.007277	      -0.009093
        1.89975	       2.239974	       -0.00448	      -0.006296
        1.90975	       1.398339	      -0.002797	      -0.004613
       1.919725	       0.968557	      -0.001937	      -0.003753
        1.92975	       0.844933	       -0.00169	      -0.003506
        1.93975	       0.994678	      -0.001989	      -0.003805
        1.94975	       1.433874	      -0.002868	      -0.004684
       1.959725	       2.085288	      -0.004171	      -0.005987
        1.96975	       2.892363	      -0.005785	      -0.007601
        1.97975	       3.879209	      -0.007758	      -0.009574
        1.98975	       4.694932	       -0.00939	      -0.011206
       1.999725	       5.337873	      -0.010676	      -0.012492
        2.00975	       5.586355	      -0.011173	      -0.012989
        2.01975	       5.406589	      -0.010813	      -0.012629
        2.02975	       4.743032	      -0.009486	      -0.011302
        2.03975	       3.802709	      -0.007605	      -0.009421
        2.04975	       2.726307	      -0.005453	      -0.007269
       2.059725	       1.727011	      -0.003454	       -0.00527
        2.06975	       1.044893	       -0.00209	      -0.003906
        2.07975	       0.773335	      -0.001547	      -0.003363
        2.08975	       1.137566	      -0.002275	      -0.004091
        2.09975	       2.086625	      -0.004173	      -0.005989
       2.109725	       3.529169	      -0.007058	      -0.008874
        2.11975	       5.355525	      -0.010711	      -0.012527
        2.12975	        7.43509	       -0.01487	      -0.016686
        2.13975	       9.442647	      -0.018885	      -0.020701
       2.149725	      11.278539	      -0.022557	      -0.024373
       2.159725	      12.739021	      -0.025478	      -0.027294
       2.169725	      13.750821	      -0.027502	      -0.029318
