u:\PHYS 402\Lab 4 (D2)\DoubleSlitrun3_04mmwidth_5mmspace_logcurrent.txt

DAQ PROGRAM: DIFFN4.prj 

Current Date: 
10-13-2020
Current Time: 
11:18:56
Total Number of Data Points:     
501
Number of Samples per Point:    
30000
Stepper Motor Step Size (Cycles):
10
Stepper Motor Step Size (Steps): 
400
Stepper Motor Step Size (cm):    
0.01
 Start Date:  10-13-2020
 Start Time:  11:02:52

Xpos 	Iobs 	Vobs 	Robs 
        1.12975	       6.066191	      -0.012132	      -0.013779
        1.13975	       4.862018	      -0.009724	       -0.01137
       1.149725	       3.253756	      -0.006508	      -0.008154
       1.159725	       1.880344	      -0.003761	      -0.005407
       1.169725	       1.064999	       -0.00213	      -0.003776
        1.17975	        1.22342	      -0.002447	      -0.004093
        1.18975	       2.574151	      -0.005148	      -0.006795
        1.19975	       4.985626	      -0.009971	      -0.011617
       1.209725	       8.129577	      -0.016259	      -0.017905
        1.21975	      11.256499	      -0.022513	      -0.024159
        1.22975	      13.817855	      -0.027636	      -0.029282
        1.23975	      14.848661	      -0.029697	      -0.031344
        1.24975	      14.305541	      -0.028611	      -0.030257
       1.259725	      12.231985	      -0.024464	       -0.02611
        1.26975	       8.773065	      -0.017546	      -0.019192
        1.27975	       5.059453	      -0.010119	      -0.011765
        1.28975	       2.203513	      -0.004407	      -0.006053
       1.299725	       1.024337	      -0.002049	      -0.003695
       1.309725	       2.105828	      -0.004212	      -0.005858
        1.31975	       5.747312	      -0.011495	      -0.013141
        1.32975	      11.246689	      -0.022493	       -0.02414
        1.33975	      17.258005	      -0.034516	      -0.036162
       1.349725	      22.715668	      -0.045431	      -0.047078
       1.359725	      26.247456	      -0.052495	      -0.054141
        1.36975	      26.762456	      -0.053525	      -0.055171
        1.37975	      23.836786	      -0.047674	       -0.04932
        1.38975	      18.489049	      -0.036978	      -0.038624
        1.39975	      11.736806	      -0.023474	       -0.02512
       1.409725	       5.572607	      -0.011145	      -0.012791
        1.41975	       1.657233	      -0.003314	      -0.004961
        1.42975	       1.453981	      -0.002908	      -0.004554
        1.43975	       5.463042	      -0.010926	      -0.012572
       1.449725	      13.034004	      -0.026068	      -0.027714
       1.459725	      22.732538	      -0.045465	      -0.047111
        1.46975	      31.996564	      -0.063993	      -0.065639
        1.47975	      39.235369	      -0.078471	      -0.080117
        1.48975	      42.060183	       -0.08412	      -0.085767
        1.49975	      39.595103	       -0.07919	      -0.080836
       1.509725	      32.390113	       -0.06478	      -0.066426
        1.51975	      22.688047	      -0.045376	      -0.047022
        1.52975	      12.144964	       -0.02429	      -0.025936
        1.53975	       4.432434	      -0.008865	      -0.010511
        1.54975	       1.244617	      -0.002489	      -0.004135
       1.559725	       4.337789	      -0.008676	      -0.010322
        1.56975	      13.149079	      -0.026298	      -0.027944
        1.57975	      26.464187	      -0.052928	      -0.054575
        1.58975	      40.762153	      -0.081524	      -0.083171
        1.59975	      52.845487	      -0.105691	      -0.107337
       1.609725	      59.241721	      -0.118483	       -0.12013
        1.61975	      58.771469	      -0.117543	      -0.119189
        1.62975	      50.990081	       -0.10198	      -0.103626
        1.63975	       38.14133	      -0.076283	      -0.077929
        1.64975	      22.814509	      -0.045629	      -0.047275
       1.659725	       9.653758	      -0.019308	      -0.020954
        1.66975	       2.237635	      -0.004475	      -0.006122
        1.67975	       2.783729	      -0.005567	      -0.007214
        1.68975	      11.776291	      -0.023553	      -0.025199
       1.699725	      27.626794	      -0.055254	        -0.0569
       1.709725	       46.78118	      -0.093562	      -0.095209
        1.71975	      64.045796	      -0.128092	      -0.129738
        1.72975	       76.24081	      -0.152482	      -0.154128
        1.73975	      79.156982	      -0.158314	       -0.15996
        1.74975	      72.487899	      -0.144976	      -0.146622
       1.759725	      57.474836	       -0.11495	      -0.116596
        1.76975	      38.333381	      -0.076667	      -0.078313
        1.77975	      19.011279	      -0.038023	      -0.039669
        1.78975	       5.571928	      -0.011144	       -0.01279
        1.79975	       1.768753	      -0.003538	      -0.005184
        1.80975	       8.973129	      -0.017946	      -0.019592
        1.81975	      25.532775	      -0.051066	      -0.052712
        1.82975	      48.763619	      -0.097527	      -0.099173
        1.83975	      71.815584	      -0.143631	      -0.145277
       1.849725	       90.04517	       -0.18009	      -0.181737
       1.859725	      98.017799	      -0.196036	      -0.197682
        1.86975	      94.208807	      -0.188418	      -0.190064
        1.87975	      78.854627	      -0.157709	      -0.159355
        1.88975	      56.038486	      -0.112077	      -0.113723
       1.899725	      31.577556	      -0.063155	      -0.064801
       1.909725	      11.926256	      -0.023853	      -0.025499
        1.91975	       2.371453	      -0.004743	      -0.006389
        1.92975	       5.796584	      -0.011593	      -0.013239
        1.93975	      21.654147	      -0.043308	      -0.044955
       1.949725	      46.857652	      -0.093715	      -0.095362
        1.95975	      74.840489	      -0.149681	      -0.151327
        1.96975	      98.446611	      -0.196893	      -0.198539
        1.97975	     112.805116	       -0.22561	      -0.227256
        1.98975	     113.068819	      -0.226138	      -0.227784
       1.999725	       99.68959	      -0.199379	      -0.201025
       2.009725	      75.563955	      -0.151128	      -0.152774
